,born,bornCity,bornCountry,bornCountryCode,died,diedCity,diedCountry,diedCountryCode,firstname,gender,id,prizes,surname,affiliations,category,motivation,overallMotivation,share,year
369,1903-01-27,Melbourne,Australia,AU,1997-05-02,Contra,Switzerland,CH,Sir John Carew,male,375,"[{'year': '1963', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""', 'affiliations': [{'name': 'Australian National University', 'city': 'Canberra', 'country': 'Australia'}]}]",Eccles,"[{'name': 'Australian National University', 'city': 'Canberra', 'country': 'Australia'}]",medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",,3,1963
370,1914-02-05,Banbury,United Kingdom,GB,1998-12-20,Cambridge,United Kingdom,GB,Alan Lloyd,male,376,"[{'year': '1963', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""', 'affiliations': [{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]}]",Hodgkin,"[{'name': 'University of Cambridge', 'city': 'Cambridge', 'country': 'United Kingdom'}]",medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",,3,1963
371,1917-11-22,Hampstead,United Kingdom,GB,2012-05-30,Grantchester,United Kingdom,GB,Andrew Fielding,male,377,"[{'year': '1963', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""', 'affiliations': [{'name': 'University College', 'city': 'London', 'country': 'United Kingdom'}]}]",Huxley,"[{'name': 'University College', 'city': 'London', 'country': 'United Kingdom'}]",medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",,3,1963
372,1912-01-21,Neisse (now Nysa),Germany (now Poland),PL,2000-10-15,"Burlington, MA",USA,US,Konrad,male,378,"[{'year': '1964', 'category': 'medicine', 'share': '2', 'motivation': '""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""', 'affiliations': [{'name': 'Harvard University', 'city': 'Cambridge, MA', 'country': 'USA'}]}]",Bloch,"[{'name': 'Harvard University', 'city': 'Cambridge, MA', 'country': 'USA'}]",medicine,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",,2,1964
373,1911-04-06,Munich,Germany,DE,1979-08-06,Munich,Germany,DE,Feodor,male,379,"[{'year': '1964', 'category': 'medicine', 'share': '2', 'motivation': '""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""', 'affiliations': [{'name': 'Max-Planck-Institut für Zellchemie', 'city': 'Munich', 'country': 'Federal Republic of Germany'}]}]",Lynen,"[{'name': 'Max-Planck-Institut für Zellchemie', 'city': 'Munich', 'country': 'Federal Republic of Germany'}]",medicine,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",,2,1964
374,1920-06-17,Nancy,France,FR,2013-04-19,Paris,France,FR,François,male,380,"[{'year': '1965', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning genetic control of enzyme and virus synthesis""', 'affiliations': [{'name': 'Institut Pasteur', 'city': 'Paris', 'country': 'France'}]}]",Jacob,"[{'name': 'Institut Pasteur', 'city': 'Paris', 'country': 'France'}]",medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",,3,1965
375,1902-05-08,Ainay-le-Château,France,FR,1994-09-30,Paris,France,FR,André,male,381,"[{'year': '1965', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning genetic control of enzyme and virus synthesis""', 'affiliations': [{'name': 'Institut Pasteur', 'city': 'Paris', 'country': 'France'}]}]",Lwoff,"[{'name': 'Institut Pasteur', 'city': 'Paris', 'country': 'France'}]",medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",,3,1965
376,1910-02-09,Paris,France,FR,1976-05-31,Cannes,France,FR,Jacques,male,382,"[{'year': '1965', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning genetic control of enzyme and virus synthesis""', 'affiliations': [{'name': 'Institut Pasteur', 'city': 'Paris', 'country': 'France'}]}]",Monod,"[{'name': 'Institut Pasteur', 'city': 'Paris', 'country': 'France'}]",medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",,3,1965
377,1879-10-05,"Baltimore, MD",USA,US,1970-02-16,"New York, NY",USA,US,Peyton,male,383,"[{'year': '1966', 'category': 'medicine', 'share': '2', 'motivation': '""for his discovery of tumour-inducing viruses""', 'affiliations': [{'name': 'Rockefeller University', 'city': 'New York, NY', 'country': 'USA'}]}]",Rous,"[{'name': 'Rockefeller University', 'city': 'New York, NY', 'country': 'USA'}]",medicine,"""for his discovery of tumour-inducing viruses""",,2,1966
378,1901-09-22,Halifax,Canada,CA,1997-01-12,"Chicago, IL",USA,US,Charles Brenton,male,384,"[{'year': '1966', 'category': 'medicine', 'share': '2', 'motivation': '""for his discoveries concerning hormonal treatment of prostatic cancer""', 'affiliations': [{'name': 'University of Chicago, Ben May Laboratory for Cancer Research', 'city': 'Chicago, IL', 'country': 'USA'}]}]",Huggins,"[{'name': 'University of Chicago, Ben May Laboratory for Cancer Research', 'city': 'Chicago, IL', 'country': 'USA'}]",medicine,"""for his discoveries concerning hormonal treatment of prostatic cancer""",,2,1966
379,1900-10-30,Helsinki,Russian Empire (now Finland),FI,1991-03-12,Stockholm,Sweden,SE,Ragnar,male,385,"[{'year': '1967', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the primary physiological and chemical visual processes in the eye""', 'affiliations': [{'name': 'Karolinska Institutet', 'city': 'Stockholm', 'country': 'Sweden'}]}]",Granit,"[{'name': 'Karolinska Institutet', 'city': 'Stockholm', 'country': 'Sweden'}]",medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",,3,1967
380,1903-12-22,"Bloomsburg, PA",USA,US,1983-03-17,"Fallston, MD",USA,US,Haldan Keffer,male,386,"[{'year': '1967', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the primary physiological and chemical visual processes in the eye""', 'affiliations': [{'name': 'Rockefeller University', 'city': 'New York, NY', 'country': 'USA'}]}]",Hartline,"[{'name': 'Rockefeller University', 'city': 'New York, NY', 'country': 'USA'}]",medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",,3,1967
381,1906-11-18,"New York, NY",USA,US,1997-04-12,"Cambridge, MA",USA,US,George,male,387,"[{'year': '1967', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the primary physiological and chemical visual processes in the eye""', 'affiliations': [{'name': 'Harvard University', 'city': 'Cambridge, MA', 'country': 'USA'}]}]",Wald,"[{'name': 'Harvard University', 'city': 'Cambridge, MA', 'country': 'USA'}]",medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",,3,1967
382,1922-01-28,"Urbana, IL",USA,US,1993-02-11,"Los Gatos, CA",USA,US,Robert W.,male,388,"[{'year': '1968', 'category': 'medicine', 'share': '3', 'motivation': '""for their interpretation of the genetic code and its function in protein synthesis""', 'affiliations': [{'name': 'Cornell University', 'city': 'Ithaca, NY', 'country': 'USA'}]}]",Holley,"[{'name': 'Cornell University', 'city': 'Ithaca, NY', 'country': 'USA'}]",medicine,"""for their interpretation of the genetic code and its function in protein synthesis""",,3,1968
383,1922-01-09,Raipur,India,IN,2011-11-09,"Concord, MA",USA,US,Har Gobind,male,389,"[{'year': '1968', 'category': 'medicine', 'share': '3', 'motivation': '""for their interpretation of the genetic code and its function in protein synthesis""', 'affiliations': [{'name': 'University of Wisconsin', 'city': 'Madison, WI', 'country': 'USA'}]}]",Khorana,"[{'name': 'University of Wisconsin', 'city': 'Madison, WI', 'country': 'USA'}]",medicine,"""for their interpretation of the genetic code and its function in protein synthesis""",,3,1968
384,1927-04-10,"New York, NY",USA,US,2010-01-15,"New York, NY",USA,US,Marshall W.,male,390,"[{'year': '1968', 'category': 'medicine', 'share': '3', 'motivation': '""for their interpretation of the genetic code and its function in protein synthesis""', 'affiliations': [{'name': 'National Institutes of Health', 'city': 'Bethesda, MD', 'country': 'USA'}]}]",Nirenberg,"[{'name': 'National Institutes of Health', 'city': 'Bethesda, MD', 'country': 'USA'}]",medicine,"""for their interpretation of the genetic code and its function in protein synthesis""",,3,1968
385,1906-09-04,Berlin,Germany,DE,1981-03-09,"Pasadena, CA",USA,US,Max,male,391,"[{'year': '1969', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the replication mechanism and the genetic structure of viruses""', 'affiliations': [{'name': 'California Institute of Technology (Caltech)', 'city': 'Pasadena, CA', 'country': 'USA'}]}]",Delbrück,"[{'name': 'California Institute of Technology (Caltech)', 'city': 'Pasadena, CA', 'country': 'USA'}]",medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",,3,1969
386,1908-12-04,"Owosso, MI",USA,US,1997-05-22,"Syosset, NY",USA,US,Alfred D.,male,392,"[{'year': '1969', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the replication mechanism and the genetic structure of viruses""', 'affiliations': [{'name': 'Carnegie Institution of Washington', 'city': 'Long Island, New York, NY', 'country': 'USA'}]}]",Hershey,"[{'name': 'Carnegie Institution of Washington', 'city': 'Long Island, New York, NY', 'country': 'USA'}]",medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",,3,1969
387,1912-08-13,Torino,Italy,IT,1991-02-06,"Lexington, MA",USA,US,Salvador E.,male,393,"[{'year': '1969', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the replication mechanism and the genetic structure of viruses""', 'affiliations': [{'name': 'Massachusetts Institute of Technology (MIT)', 'city': 'Cambridge, MA', 'country': 'USA'}]}]",Luria,"[{'name': 'Massachusetts Institute of Technology (MIT)', 'city': 'Cambridge, MA', 'country': 'USA'}]",medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",,3,1969
388,1911-03-26,Leipzig,Germany,DE,2003-04-20,London,United Kingdom,GB,Sir Bernard,male,394,"[{'year': '1970', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""', 'affiliations': [{'name': 'University College', 'city': 'London', 'country': 'United Kingdom'}]}]",Katz,"[{'name': 'University College', 'city': 'London', 'country': 'United Kingdom'}]",medicine,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",,3,1970
389,1905-02-07,Stockholm,Sweden,SE,1983-03-09,Stockholm,Sweden,SE,Ulf,male,395,"[{'year': '1970', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""', 'affiliations': [{'name': 'Karolinska Institutet', 'city': 'Stockholm', 'country': 'Sweden'}]}]",von Euler,"[{'name': 'Karolinska Institutet', 'city': 'Stockholm', 'country': 'Sweden'}]",medicine,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",,3,1970
390,1912-05-30,"New York, NY",USA,US,2004-12-29,"Rockville, MD",USA,US,Julius,male,396,"[{'year': '1970', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""', 'affiliations': [{'name': 'National Institutes of Health', 'city': 'Bethesda, MD', 'country': 'USA'}]}]",Axelrod,"[{'name': 'National Institutes of Health', 'city': 'Bethesda, MD', 'country': 'USA'}]",medicine,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",,3,1970
391,1915-11-19,"Burlingame, KS",USA,US,1974-03-09,"Miami, FL",USA,US,Earl W.,male,397,"[{'year': '1971', 'category': 'medicine', 'share': '1', 'motivation': '""for his discoveries concerning the mechanisms of the action of hormones""', 'affiliations': [{'name': 'Vanderbilt University', 'city': 'Nashville, TN', 'country': 'USA'}]}]","Sutherland, Jr.","[{'name': 'Vanderbilt University', 'city': 'Nashville, TN', 'country': 'USA'}]",medicine,"""for his discoveries concerning the mechanisms of the action of hormones""",,1,1971
392,1929-07-01,"New York, NY",USA,US,2014-05-17,"La Jolla, CA",USA,US,Gerald M.,male,398,"[{'year': '1972', 'category': 'medicine', 'share': '2', 'motivation': '""for their discoveries concerning the chemical structure of antibodies""', 'affiliations': [{'name': 'Rockefeller University', 'city': 'New York, NY', 'country': 'USA'}]}]",Edelman,"[{'name': 'Rockefeller University', 'city': 'New York, NY', 'country': 'USA'}]",medicine,"""for their discoveries concerning the chemical structure of antibodies""",,2,1972
393,1917-10-08,Newton-le-Willows,United Kingdom,GB,1985-09-06,Winchester,United Kingdom,GB,Rodney R.,male,399,"[{'year': '1972', 'category': 'medicine', 'share': '2', 'motivation': '""for their discoveries concerning the chemical structure of antibodies""', 'affiliations': [{'name': 'University of Oxford', 'city': 'Oxford', 'country': 'United Kingdom'}]}]",Porter,"[{'name': 'University of Oxford', 'city': 'Oxford', 'country': 'United Kingdom'}]",medicine,"""for their discoveries concerning the chemical structure of antibodies""",,2,1972
394,1886-11-20,Vienna,Austria,AT,1982-06-12,Munich,West Germany (now Germany),DE,Karl,male,400,"[{'year': '1973', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""', 'affiliations': [{'name': 'Zoologisches Institut der Universität München', 'city': 'Munich', 'country': 'Federal Republic of Germany'}]}]",von Frisch,"[{'name': 'Zoologisches Institut der Universität München', 'city': 'Munich', 'country': 'Federal Republic of Germany'}]",medicine,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",,3,1973
395,1903-11-07,Vienna,Austria,AT,1989-02-27,Vienna,Austria,AT,Konrad,male,401,"[{'year': '1973', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""', 'affiliations': [{'name': 'Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen\xadschaften, Forschungsstelle für Ethologie', 'city': 'Altenberg; Grünau im Almtal', 'country': 'Austria'}]}]",Lorenz,"[{'name': 'Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen\xadschaften, Forschungsstelle für Ethologie', 'city': 'Altenberg; Grünau im Almtal', 'country': 'Austria'}]",medicine,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",,3,1973
396,1907-04-15,the Hague,the Netherlands,NL,1988-12-21,Oxford,United Kingdom,GB,Nikolaas,male,402,"[{'year': '1973', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""', 'affiliations': [{'name': 'University of Oxford', 'city': 'Oxford', 'country': 'United Kingdom'}]}]",Tinbergen,"[{'name': 'University of Oxford', 'city': 'Oxford', 'country': 'United Kingdom'}]",medicine,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",,3,1973
397,1898-08-24,Longlier,Belgium,BE,1983-05-22,Brussels,Belgium,BE,Albert,male,403,"[{'year': '1974', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the structural and functional organization of the cell""', 'affiliations': [{'name': 'Université Catholique de Louvain', 'city': 'Louvain', 'country': 'Belgium'}]}]",Claude,"[{'name': 'Université Catholique de Louvain', 'city': 'Louvain', 'country': 'Belgium'}]",medicine,"""for their discoveries concerning the structural and functional organization of the cell""",,3,1974
398,1917-10-02,Thames Ditton,United Kingdom,GB,2013-05-04,Nethen,Belgium,BE,Christian,male,404,"[{'year': '1974', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the structural and functional organization of the cell""', 'affiliations': [{'name': 'Rockefeller University', 'city': 'New York, NY', 'country': 'USA'}, {'name': 'Université Catholique de Louvain', 'city': 'Louvain', 'country': 'Belgium'}]}]",de Duve,"[{'name': 'Rockefeller University', 'city': 'New York, NY', 'country': 'USA'}, {'name': 'Université Catholique de Louvain', 'city': 'Louvain', 'country': 'Belgium'}]",medicine,"""for their discoveries concerning the structural and functional organization of the cell""",,3,1974
399,1912-11-19,Iasi,Romania,RO,2008-10-07,"Del Mar, CA",USA,US,George E.,male,405,"[{'year': '1974', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the structural and functional organization of the cell""', 'affiliations': [{'name': 'Yale University, School of Medicine', 'city': 'New Haven, CT', 'country': 'USA'}]}]",Palade,"[{'name': 'Yale University, School of Medicine', 'city': 'New Haven, CT', 'country': 'USA'}]",medicine,"""for their discoveries concerning the structural and functional organization of the cell""",,3,1974
400,1938-03-07,"New York, NY",USA,US,0000-00-00,,,,David,male,406,"[{'year': '1975', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""', 'affiliations': [{'name': 'Massachusetts Institute of Technology (MIT)', 'city': 'Cambridge, MA', 'country': 'USA'}]}]",Baltimore,"[{'name': 'Massachusetts Institute of Technology (MIT)', 'city': 'Cambridge, MA', 'country': 'USA'}]",medicine,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",,3,1975
401,1914-02-22,Catanzaro,Italy,IT,2012-02-19,"La Jolla, CA",USA,US,Renato,male,407,"[{'year': '1975', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""', 'affiliations': [{'name': 'Imperial Cancer Research Fund Laboratory', 'city': 'London', 'country': 'United Kingdom'}]}]",Dulbecco,"[{'name': 'Imperial Cancer Research Fund Laboratory', 'city': 'London', 'country': 'United Kingdom'}]",medicine,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",,3,1975
402,1934-12-10,"Philadelphia, PA",USA,US,1994-02-09,"Madison, WI",USA,US,Howard Martin,male,408,"[{'year': '1975', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""', 'affiliations': [{'name': 'University of Wisconsin', 'city': 'Madison, WI', 'country': 'USA'}]}]",Temin,"[{'name': 'University of Wisconsin', 'city': 'Madison, WI', 'country': 'USA'}]",medicine,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",,3,1975
403,1925-07-28,"New York, NY",USA,US,2011-04-05,"Moffett Field, CA",USA,US,Baruch S.,male,409,"[{'year': '1976', 'category': 'medicine', 'share': '2', 'motivation': '""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""', 'affiliations': [{'name': 'The Institute for Cancer Research', 'city': 'Philadelphia, PA', 'country': 'USA'}]}]",Blumberg,"[{'name': 'The Institute for Cancer Research', 'city': 'Philadelphia, PA', 'country': 'USA'}]",medicine,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",,2,1976
404,1923-09-09,"Yonkers, NY",USA,US,2008-12-12,Tromsø,Norway,NO,D. Carleton,male,410,"[{'year': '1976', 'category': 'medicine', 'share': '2', 'motivation': '""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""', 'affiliations': [{'name': 'National Institutes of Health', 'city': 'Bethesda, MD', 'country': 'USA'}]}]",Gajdusek,"[{'name': 'National Institutes of Health', 'city': 'Bethesda, MD', 'country': 'USA'}]",medicine,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",,2,1976
405,1924-01-11,Dijon,France,FR,0000-00-00,,,,Roger,male,411,"[{'year': '1977', 'category': 'medicine', 'share': '4', 'motivation': '""for their discoveries concerning the peptide hormone production of the brain""', 'affiliations': [{'name': 'The Salk Institute', 'city': 'San Diego, CA', 'country': 'USA'}]}]",Guillemin,"[{'name': 'The Salk Institute', 'city': 'San Diego, CA', 'country': 'USA'}]",medicine,"""for their discoveries concerning the peptide hormone production of the brain""",,4,1977
406,1926-11-30,Wilno (now Vilnius),Poland (now Lithuania),LT,0000-00-00,,,,Andrew V.,male,412,"[{'year': '1977', 'category': 'medicine', 'share': '4', 'motivation': '""for their discoveries concerning the peptide hormone production of the brain""', 'affiliations': [{'name': 'Veterans Administration Hospital', 'city': 'New Orleans, LA', 'country': 'USA'}]}]",Schally,"[{'name': 'Veterans Administration Hospital', 'city': 'New Orleans, LA', 'country': 'USA'}]",medicine,"""for their discoveries concerning the peptide hormone production of the brain""",,4,1977
407,1921-07-19,"New York, NY",USA,US,2011-05-30,"New York, NY",USA,US,Rosalyn,female,413,"[{'year': '1977', 'category': 'medicine', 'share': '2', 'motivation': '""for the development of radioimmunoassays of peptide hormones""', 'affiliations': [{'name': 'Veterans Administration Hospital', 'city': 'Bronx, NY', 'country': 'USA'}]}]",Yalow,"[{'name': 'Veterans Administration Hospital', 'city': 'Bronx, NY', 'country': 'USA'}]",medicine,"""for the development of radioimmunoassays of peptide hormones""",,2,1977
408,1929-06-03,Gränichen,Switzerland,CH,0000-00-00,,,,Werner,male,414,"[{'year': '1978', 'category': 'medicine', 'share': '3', 'motivation': '""for the discovery of restriction enzymes and their application to problems of molecular genetics""', 'affiliations': [{'name': 'Biozentrum der Universität', 'city': 'Basel', 'country': 'Switzerland'}]}]",Arber,"[{'name': 'Biozentrum der Universität', 'city': 'Basel', 'country': 'Switzerland'}]",medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",,3,1978
409,1928-10-30,"Wilmington, DE",USA,US,1999-11-16,"Baltimore, MD",USA,US,Daniel,male,415,"[{'year': '1978', 'category': 'medicine', 'share': '3', 'motivation': '""for the discovery of restriction enzymes and their application to problems of molecular genetics""', 'affiliations': [{'name': 'Johns Hopkins University School of Medicine', 'city': 'Baltimore, MD', 'country': 'USA'}]}]",Nathans,"[{'name': 'Johns Hopkins University School of Medicine', 'city': 'Baltimore, MD', 'country': 'USA'}]",medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",,3,1978
410,1931-08-23,"New York, NY",USA,US,0000-00-00,,,,Hamilton O.,male,416,"[{'year': '1978', 'category': 'medicine', 'share': '3', 'motivation': '""for the discovery of restriction enzymes and their application to problems of molecular genetics""', 'affiliations': [{'name': 'Johns Hopkins University School of Medicine', 'city': 'Baltimore, MD', 'country': 'USA'}]}]",Smith,"[{'name': 'Johns Hopkins University School of Medicine', 'city': 'Baltimore, MD', 'country': 'USA'}]",medicine,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",,3,1978
411,1924-02-23,Johannesburg,South Africa,ZA,1998-05-07,"Winchester, MA",USA,US,Allan M.,male,417,"[{'year': '1979', 'category': 'medicine', 'share': '2', 'motivation': '""for the development of computer assisted tomography""', 'affiliations': [{'name': 'Tufts University', 'city': 'Medford, MA', 'country': 'USA'}]}]",Cormack,"[{'name': 'Tufts University', 'city': 'Medford, MA', 'country': 'USA'}]",medicine,"""for the development of computer assisted tomography""",,2,1979
412,1919-08-28,Newark,United Kingdom,GB,2004-08-12,Kingston upon Thames,United Kingdom,GB,Godfrey N.,male,418,"[{'year': '1979', 'category': 'medicine', 'share': '2', 'motivation': '""for the development of computer assisted tomography""', 'affiliations': [{'name': 'Central Research Laboratories, EMI', 'city': 'London', 'country': 'United Kingdom'}]}]",Hounsfield,"[{'name': 'Central Research Laboratories, EMI', 'city': 'London', 'country': 'United Kingdom'}]",medicine,"""for the development of computer assisted tomography""",,2,1979
413,1920-10-29,Caracas,Venezuela,VE,2011-08-02,"Boston, MA",USA,US,Baruj,male,419,"[{'year': '1980', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""', 'affiliations': [{'name': 'Harvard Medical School', 'city': 'Boston, MA', 'country': 'USA'}]}]",Benacerraf,"[{'name': 'Harvard Medical School', 'city': 'Boston, MA', 'country': 'USA'}]",medicine,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",,3,1980
414,1916-10-19,Toulouse,France,FR,2009-06-06,"Palma, Majorca",Spain,ES,Jean,male,420,"[{'year': '1980', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""', 'affiliations': [{'name': 'Université de Paris, Laboratoire Immuno-Hématologie', 'city': 'Paris', 'country': 'France'}]}]",Dausset,"[{'name': 'Université de Paris, Laboratoire Immuno-Hématologie', 'city': 'Paris', 'country': 'France'}]",medicine,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",,3,1980
415,1903-12-19,"Bradford, MA",USA,US,1996-06-06,"Bar Harbor, ME",USA,US,George D.,male,421,"[{'year': '1980', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""', 'affiliations': [{'name': 'Jackson Laboratory', 'city': 'Bar Harbor, ME', 'country': 'USA'}]}]",Snell,"[{'name': 'Jackson Laboratory', 'city': 'Bar Harbor, ME', 'country': 'USA'}]",medicine,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",,3,1980
416,1913-08-20,"Hartford, CT",USA,US,1994-04-17,"Pasadena, CA",USA,US,Roger W.,male,422,"[{'year': '1981', 'category': 'medicine', 'share': '2', 'motivation': '""for his discoveries concerning the functional specialization of the cerebral hemispheres""', 'affiliations': [{'name': 'California Institute of Technology (Caltech)', 'city': 'Pasadena, CA', 'country': 'USA'}]}]",Sperry,"[{'name': 'California Institute of Technology (Caltech)', 'city': 'Pasadena, CA', 'country': 'USA'}]",medicine,"""for his discoveries concerning the functional specialization of the cerebral hemispheres""",,2,1981
417,1926-02-27,"Windsor, ON",Canada,CA,2013-09-22,"Lincoln, MA",USA,US,David H.,male,423,"[{'year': '1981', 'category': 'medicine', 'share': '4', 'motivation': '""for their discoveries concerning information processing in the visual system""', 'affiliations': [{'name': 'Harvard Medical School', 'city': 'Boston, MA', 'country': 'USA'}]}]",Hubel,"[{'name': 'Harvard Medical School', 'city': 'Boston, MA', 'country': 'USA'}]",medicine,"""for their discoveries concerning information processing in the visual system""",,4,1981
418,1924-06-03,Uppsala,Sweden,SE,0000-00-00,,,,Torsten N.,male,424,"[{'year': '1981', 'category': 'medicine', 'share': '4', 'motivation': '""for their discoveries concerning information processing in the visual system""', 'affiliations': [{'name': 'Harvard Medical School', 'city': 'Boston, MA', 'country': 'USA'}]}]",Wiesel,"[{'name': 'Harvard Medical School', 'city': 'Boston, MA', 'country': 'USA'}]",medicine,"""for their discoveries concerning information processing in the visual system""",,4,1981
419,1916-01-10,Stockholm,Sweden,SE,2004-08-15,Stockholm,Sweden,SE,Sune K.,male,425,"[{'year': '1982', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning prostaglandins and related biologically active substances""', 'affiliations': [{'name': 'Karolinska Institutet', 'city': 'Stockholm', 'country': 'Sweden'}]}]",Bergström,"[{'name': 'Karolinska Institutet', 'city': 'Stockholm', 'country': 'Sweden'}]",medicine,"""for their discoveries concerning prostaglandins and related biologically active substances""",,3,1982
420,1934-05-21,Halmstad,Sweden,SE,0000-00-00,,,,Bengt I.,male,426,"[{'year': '1982', 'category': 'medicine', 'share': '3', 'motivation': '""for their discoveries concerning prostaglandins and related biologically active substances""', 'affiliations': [{'name': 'Karolinska Institutet', 'city': 'Stockholm', 'country': 'Sweden'}]}]",Samuelsson,"[{'name': 'Karolinska Institutet', 'city': 'Stockholm', 'country': 'Sweden'}]",medicine,"""for their discoveries concerning prostaglandins and related biologically active substances""",,3,1982
